in:Distribution,in:39,in:48,in:51,in:54,in:60,in:Design,out:Social[%],out:Midden[%],out:Vrij[%],out:Betaalbaar[%],out:tO,out:tK,out:Rendement,out:Aantal,out:Sa,out:MHa,out:MKa,out:Va,out:VGa,out:Sk1_1,out:Sk1_2,out:Sk2_1,out:Sk2_2,out:Sk3_1,out:Sk3_2,out:Mk2H,out:Mk3H,out:Mk2K_1,out:Mk2K_2,out:Mk2K_3,out:Mk3K_1,out:Mk3K_2,out:Mk3K_3,out:Vk3K,out:Vk4K,out:G39,out:G48,out:G51,out:G54,out:G60,out:Pbh,out:Pg,out:OverschotP,out:Tip,out:Se,out:MHe,out:MKe,out:Ve,out:VGe,out:Valid,out:Issues,img
Ascending,12,20,25,25,25,A,27,36,37,63,211,194,17,598,160,59,156,31,192,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,23,38,48,48,35,615,620,5,Ja,10,7,0,0,17,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionAscending_3912_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending,12,20,25,25,25,A,27,36,37,63,202,189,13,593,160,59,156,31,187,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,47,47,46,37,10,608,620,12,Ja,10,7,0,0,12,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionDescending_3912_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending,25,20,25,25,25,A,26,35,39,61,210,196,14,608,160,59,156,31,202,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,51,40,51,50,10,629,620,-9,Niet voldoende!,10,7,0,0,27,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionAscending_3925_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending,25,20,25,25,25,A,27,36,37,63,202,189,13,593,160,59,156,31,187,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,47,47,46,37,10,608,620,12,Ja,10,7,0,0,12,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionDescending_3925_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending,12,20,50,25,25,A,27,36,37,63,210,194,16,601,160,59,156,31,195,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,23,39,97,18,18,619,620,1,Ja,10,7,0,0,20,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionAscending_3912_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending,12,20,50,25,25,A,27,37,36,64,197,185,12,587,160,59,156,31,181,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,45,45,90,1,0,600,620,20,Ja,10,7,0,0,6,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionDescending_3912_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending,25,20,50,25,25,A,26,35,39,61,209,195,14,609,160,59,156,31,203,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,51,41,101,5,5,630,620,-10,Niet voldoende!,10,7,0,0,28,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionAscending_3925_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending,25,20,50,25,25,A,27,37,36,64,197,185,12,587,160,59,156,31,181,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,45,45,90,1,0,600,620,20,Ja,10,7,0,0,6,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionDescending_3925_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending,12,20,25,40,25,A,27,36,37,63,211,195,16,601,160,59,156,31,195,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,23,39,49,78,6,619,620,1,Ja,10,7,0,0,20,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionAscending_3912_4820_5125_5440_6025_GGWUrbanDesignA_3D_Client.png
Descending,12,20,25,40,25,A,27,37,36,64,198,186,12,589,160,59,156,31,183,2,5,48,44,34,27,32,27,38,31,0,36,28,23,5,26,46,73,46,9,9,603,620,17,Ja,10,7,0,0,8,True,False,https://pheijman.github.io/HeijmansDesignExplorer/Sprint1/DistributionDescending_3912_4820_5125_5440_6025_GGWUrbanDesignA_3D_Client.png
